[04/27/21 02:05:49] [INFO] received Windows console close event; shutting log-core down
[04/27/21 18:04:53] [INFO] received Windows console close event; shutting log-core down
[04/27/21 21:02:04] [INFO] received Windows console close event; shutting log-core down
[04/27/21 23:13:15] [INFO] received Windows console close event; shutting log-core down
[04/27/21 23:15:39] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[04/27/21 23:17:15] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[04/27/21 23:25:11] [INFO] received Windows console close event; shutting log-core down
[04/28/21 20:01:19] [INFO] received Windows console close event; shutting log-core down
[04/29/21 01:02:23] [INFO] received Windows console close event; shutting log-core down
[04/29/21 04:16:11] [INFO] received Windows console close event; shutting log-core down
[04/29/21 22:17:00] [INFO] received Windows console close event; shutting log-core down
[04/29/21 22:17:17] [INFO] received Windows console close event; shutting log-core down
[04/29/21 22:50:52] [INFO] received Windows console close event; shutting log-core down
[05/21/21 01:21:33] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[05/22/21 03:58:30] [INFO] received Windows console close event; shutting log-core down
[05/22/21 11:59:30] [INFO] received Windows console close event; shutting log-core down
[05/22/21 12:07:29] [INFO] received Windows console close event; shutting log-core down
[05/22/21 12:17:31] [INFO] received Windows console close event; shutting log-core down
[05/22/21 14:41:55] [INFO] received Windows console close event; shutting log-core down
[05/22/21 14:42:20] [INFO] received Windows console close event; shutting log-core down
[05/22/21 14:43:52] [INFO] received Windows console close event; shutting log-core down
[05/22/21 14:49:45] [INFO] received Windows console close event; shutting log-core down
[05/22/21 22:34:43] [INFO] received Windows console close event; shutting log-core down
[05/24/21 14:57:54] [INFO] received Windows console close event; shutting log-core down
[05/24/21 22:41:28] [INFO] received Windows console close event; shutting log-core down
[05/26/21 20:52:03] [INFO] received Windows console close event; shutting log-core down
[05/26/21 20:53:29] [INFO] received Windows console close event; shutting log-core down
[05/26/21 21:04:10] [INFO] received Windows console close event; shutting log-core down
[05/26/21 21:13:12] [INFO] received Windows console close event; shutting log-core down
[05/26/21 21:14:56] [INFO] received Windows console close event; shutting log-core down
[05/26/21 21:36:38] [INFO] received Windows console close event; shutting log-core down
[05/26/21 21:39:26] [INFO] received Windows console close event; shutting log-core down
[05/26/21 21:42:31] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[05/26/21 21:46:09] [INFO] received Windows console close event; shutting log-core down
[05/26/21 21:51:29] [INFO] received Windows console close event; shutting log-core down
[05/26/21 21:55:54] [INFO] received Windows console close event; shutting log-core down
[05/26/21 22:05:55] [INFO] received Windows console close event; shutting log-core down
[05/26/21 22:30:49] [INFO] received Windows console close event; shutting log-core down
[05/26/21 22:41:44] [INFO] received Windows console close event; shutting log-core down
[05/26/21 22:46:22] [INFO] received Windows console close event; shutting log-core down
[05/26/21 22:48:49] [INFO] received Windows console close event; shutting log-core down
[05/26/21 22:58:15] [INFO] received Windows console close event; shutting log-core down
[05/26/21 23:08:22] [INFO] received Windows console close event; shutting log-core down
[05/26/21 23:31:18] [INFO] received Windows console close event; shutting log-core down
[05/26/21 23:45:31] [INFO] received Windows console close event; shutting log-core down
[05/26/21 23:57:12] [INFO] received Windows console close event; shutting log-core down
